TIME,CH1
-5.000000e+00,-0.159453
-4.999000e+00,-0.0616406
-4.998000e+00,0.242266
-4.997000e+00,-0.169297
-4.996000e+00,-0.0855469
-4.995000e+00,-0.0260156
-4.994000e+00,0.0324219
-4.993000e+00,0.165625
-4.992000e+00,0.0394531
-4.991000e+00,0.0496094
-4.990000e+00,-0.0339844
-4.989000e+00,0.0921094
-4.988000e+00,-0.00421875
-4.987000e+00,-0.0480469
-4.986000e+00,-0.0149219
-4.985000e+00,0.00773437
-4.984000e+00,0.0542188
-4.983000e+00,0.0340625
-4.982000e+00,-0.0204688
-4.981000e+00,0.01125
-4.980000e+00,-0.0198438
-4.979000e+00,0.0228906
-4.978000e+00,-0.104063
-4.977000e+00,0.0735156
-4.976000e+00,-0.011875
-4.975000e+00,0.0771875
-4.974000e+00,0.0155469
-4.973000e+00,-0.156719
-4.972000e+00,0.104531
-4.971000e+00,-0.081875
-4.970000e+00,0.0221094
-4.969000e+00,-0.0275781
-4.968000e+00,-0.161328
-4.967000e+00,0.0730469
-4.966000e+00,0.05
-4.965000e+00,0.00195312
-4.964000e+00,0.0616406
-4.963000e+00,0.0202344
-4.962000e+00,0.107734
-4.961000e+00,0.0109375
-4.960000e+00,0.00640625
-4.959000e+00,-0.0826563
-4.958000e+00,0.040625
-4.957000e+00,0.0557813
-4.956000e+00,0.00445313
-4.955000e+00,0.015
-4.954000e+00,-0.0175
-4.953000e+00,0.00835938
-4.952000e+00,0.0847656
-4.951000e+00,-0.0177344
-4.950000e+00,-0.102813
-4.949000e+00,-0.0308594
-4.948000e+00,0.0114844
-4.947000e+00,0.142109
-4.946000e+00,0.00421875
-4.945000e+00,-0.0970312
-4.944000e+00,0.0124219
-4.943000e+00,-0.0404687
-4.942000e+00,0.0272656
-4.941000e+00,0.00140625
-4.940000e+00,-0.153984
-4.939000e+00,0.00617188
-4.938000e+00,-0.00679687
-4.937000e+00,0.0635938
-4.936000e+00,0.0482031
-4.935000e+00,0.0320312
-4.934000e+00,0.0244531
-4.933000e+00,0.0403906
-4.932000e+00,0.07
-4.931000e+00,-0.011875
-4.930000e+00,-0.0730469
-4.929000e+00,0.026875
-4.928000e+00,0.0482031
-4.927000e+00,0.0769531
-4.926000e+00,-0.009375
-4.925000e+00,-0.049375
-4.924000e+00,0.005625
-4.923000e+00,0.0977344
-4.922000e+00,-0.0210156
-4.921000e+00,-0.195156
-4.920000e+00,-0.0548438
-4.919000e+00,0.04125
-4.918000e+00,0.358438
-4.917000e+00,-0.107656
-4.916000e+00,-0.0688281
-4.915000e+00,-0.058125
-4.914000e+00,-0.0770312
-4.913000e+00,0.229766
-4.912000e+00,-0.245391
-4.911000e+00,-0.146016
-4.910000e+00,0.101719
-4.909000e+00,-0.034375
-4.908000e+00,0.157031
-4.907000e+00,-0.0204688
-4.906000e+00,-0.0009375
-4.905000e+00,0.0694531
-4.904000e+00,0.0253125
-4.903000e+00,0.0417969
-4.902000e+00,-0.0542188
-4.901000e+00,0.0180469
-4.900000e+00,0.0096875
-4.899000e+00,0.0552344
-4.898000e+00,0.0670313
-4.897000e+00,-0.00210938
-4.896000e+00,-0.0482031
-4.895000e+00,0.0221094
-4.894000e+00,0.0760156
-4.893000e+00,-0.0454688
-4.892000e+00,-0.208594
-4.891000e+00,-0.0138281
-4.890000e+00,0.016875
-4.889000e+00,0.396562
-4.888000e+00,-0.119766
-4.887000e+00,-0.0254688
-4.886000e+00,-0.1375
-4.885000e+00,-0.101328
-4.884000e+00,0.349141
-4.883000e+00,-0.343281
-4.882000e+00,-0.152969
-4.881000e+00,0.170703
-4.880000e+00,-0.0015625
-4.879000e+00,0.133125
-4.878000e+00,-0.0882813
-4.877000e+00,-0.0109375
-4.876000e+00,0.132578
-4.875000e+00,0.0408594
-4.874000e+00,-0.0101563
-4.873000e+00,-0.0928906
-4.872000e+00,0.078125
-4.871000e+00,0.0435938
-4.870000e+00,0.0913281
-4.869000e+00,-0.0065625
-4.868000e+00,-0.0503125
-4.867000e+00,-0.0301562
-4.866000e+00,0.0686719
-4.865000e+00,0.0157813
-4.864000e+00,-0.0596875
-4.863000e+00,-0.122266
-4.862000e+00,0.0146094
-4.861000e+00,0.009375
