TIME,CH1
-5.000000e+00,-0.0182812
-4.999000e+00,-0.0210156
-4.998000e+00,0.00625
-4.997000e+00,0.103203
-4.996000e+00,0.07
-4.995000e+00,0.0297656
-4.994000e+00,-0.0388281
-4.993000e+00,0.00585938
-4.992000e+00,0.071875
-4.991000e+00,0.0289844
-4.990000e+00,0.0471875
-4.989000e+00,0.0192187
-4.988000e+00,-0.0829688
-4.987000e+00,-0.0344531
-4.986000e+00,-0.00546875
-4.985000e+00,-0.0242969
-4.984000e+00,-0.0096875
-4.983000e+00,-0.0596875
-4.982000e+00,-0.0954688
-4.981000e+00,-0.0411719
-4.980000e+00,-0.0227344
-4.979000e+00,-0.000234375
-4.978000e+00,-0.0416406
-4.977000e+00,0.0146094
-4.976000e+00,-0.0241406
-4.975000e+00,0.0598438
-4.974000e+00,0.0464063
-4.973000e+00,0.060625
-4.972000e+00,0.100859
-4.971000e+00,0.00289062
-4.970000e+00,-0.0403906
-4.969000e+00,0.0339844
-4.968000e+00,0.0192187
-4.967000e+00,0.105156
-4.966000e+00,0.0969531
-4.965000e+00,-0.0474219
-4.964000e+00,-0.0172656
-4.963000e+00,0.0692187
-4.962000e+00,0.0657031
-4.961000e+00,0.0536719
-4.960000e+00,-0.0184375
-4.959000e+00,-0.0376563
-4.958000e+00,-0.0288281
-4.957000e+00,-0.0416406
-4.956000e+00,-0.0122656
-4.955000e+00,-0.040625
-4.954000e+00,-0.0496094
-4.953000e+00,-0.0614844
-4.952000e+00,-0.0705469
-4.951000e+00,-0.0235156
-4.950000e+00,-0.0071875
-4.949000e+00,-0.0149219
-4.948000e+00,-0.00695313
-4.947000e+00,-0.0429688
-4.946000e+00,0.0816406
-4.945000e+00,0.0571094
-4.944000e+00,0.043125
-4.943000e+00,0.07875
-4.942000e+00,0.008125
-4.941000e+00,0.00140625
-4.940000e+00,0.0322656
-4.939000e+00,-0.0160938
-4.938000e+00,0.121875
-4.937000e+00,0.0782031
-4.936000e+00,-0.023125
-4.935000e+00,-0.0347656
-4.934000e+00,0.0489844
-4.933000e+00,0.099375
-4.932000e+00,0.0120313
-4.931000e+00,0.00234375
-4.930000e+00,0.00335937
-4.929000e+00,-0.0946875
-4.928000e+00,-0.0779688
-4.927000e+00,0.0416406
-4.926000e+00,-0.0435156
-4.925000e+00,-0.0510938
-4.924000e+00,-0.0802344
-4.923000e+00,-0.0886719
-4.922000e+00,-0.0192187
-4.921000e+00,0.0021875
-4.920000e+00,-0.00195312
-4.919000e+00,0.000625
-4.918000e+00,0.00578125
-4.917000e+00,0.0125781
-4.916000e+00,0.0305469
-4.915000e+00,0.0839844
-4.914000e+00,0.0901563
-4.913000e+00,0.0296875
-4.912000e+00,-0.00851563
-4.911000e+00,0.0113281
-4.910000e+00,-0.00210938
-4.909000e+00,0.120156
-4.908000e+00,0.0451563
-4.907000e+00,-0.00929687
-4.906000e+00,-0.0472656
-4.905000e+00,0.0371094
-4.904000e+00,0.0674219
-4.903000e+00,0.0100781
-4.902000e+00,0.0367969
-4.901000e+00,0.0472656
-4.900000e+00,-0.0791406
-4.899000e+00,-0.0651562
-4.898000e+00,-0.00273438
-4.897000e+00,-0.0264844
-4.896000e+00,-0.000390625
-4.895000e+00,-0.0579687
-4.894000e+00,-0.130469
-4.893000e+00,-0.0228906
