TIME,CH1
-5.000000e+00,-0.0427344
-4.999000e+00,0.113047
-4.998000e+00,0.197578
-4.997000e+00,0.290313
-4.996000e+00,0.333906
-4.995000e+00,0.295625
-4.994000e+00,0.375234
-4.993000e+00,0.206484
-4.992000e+00,0.0053125
-4.991000e+00,-0.0003125
-4.990000e+00,0.118438
-4.989000e+00,0.0442188
-4.988000e+00,-0.0567188
-4.987000e+00,-0.178203
-4.986000e+00,-0.215859
-4.985000e+00,-0.304531
-4.984000e+00,-0.317422
-4.983000e+00,-0.283594
-4.982000e+00,-0.225
-4.981000e+00,-0.291875
-4.980000e+00,-0.263359
-4.979000e+00,-0.114609
-4.978000e+00,-0.0210938
-4.977000e+00,-0.0582812
-4.976000e+00,-0.0539062
-4.975000e+00,0.0183594
-4.974000e+00,0.144766
-4.973000e+00,0.222266
-4.972000e+00,0.337813
-4.971000e+00,0.340469
-4.970000e+00,0.349375
-4.969000e+00,0.306875
-4.968000e+00,0.129219
-4.967000e+00,-0.04875
-4.966000e+00,0.04125
-4.965000e+00,0.123516
-4.964000e+00,-0.0115625
-4.963000e+00,-0.130703
-4.962000e+00,-0.157344
-4.961000e+00,-0.303906
-4.960000e+00,-0.290781
-4.959000e+00,-0.294844
-4.958000e+00,-0.284375
-4.957000e+00,-0.263359
-4.956000e+00,-0.309609
-4.955000e+00,-0.168906
-4.954000e+00,-0.0500781
-4.953000e+00,-0.0208594
-4.952000e+00,-0.0415625
-4.951000e+00,-0.0391406
-4.950000e+00,0.0910156
-4.949000e+00,0.201875
-4.948000e+00,0.296172
-4.947000e+00,0.331328
-4.946000e+00,0.336016
-4.945000e+00,0.331406
-4.944000e+00,0.209453
-4.943000e+00,-0.00804688
-4.942000e+00,-0.0059375
-4.941000e+00,0.14375
-4.940000e+00,0.0725781
-4.939000e+00,-0.0883594
-4.938000e+00,-0.199219
-4.937000e+00,-0.248125
-4.936000e+00,-0.288359
-4.935000e+00,-0.327656
-4.934000e+00,-0.241953
-4.933000e+00,-0.235781
-4.932000e+00,-0.331562
-4.931000e+00,-0.250156
-4.930000e+00,-0.0922656
-4.929000e+00,-0.021875
-4.928000e+00,-0.0494531
-4.927000e+00,-0.0776563
-4.926000e+00,0.0636719
-4.925000e+00,0.1725
-4.924000e+00,0.197969
-4.923000e+00,0.315
-4.922000e+00,0.351016
-4.921000e+00,0.317578
-4.920000e+00,0.276172
-4.919000e+00,0.117344
-4.918000e+00,-0.00648437
-4.917000e+00,0.0435938
-4.916000e+00,0.153047
-4.915000e+00,-0.0269531
-4.914000e+00,-0.166875
-4.913000e+00,-0.192031
-4.912000e+00,-0.300703
-4.911000e+00,-0.28625
-4.910000e+00,-0.220391
-4.909000e+00,-0.248516
-4.908000e+00,-0.311406
-4.907000e+00,-0.332188
-4.906000e+00,-0.141797
-4.905000e+00,-0.0486719
-4.904000e+00,-0.0621094
-4.903000e+00,-0.0640625
-4.902000e+00,0.0261719
-4.901000e+00,0.132812
-4.900000e+00,0.195078
-4.899000e+00,0.265625
-4.898000e+00,0.348125
-4.897000e+00,0.303516
-4.896000e+00,0.281406
-4.895000e+00,0.202422
-4.894000e+00,0.0430469
-4.893000e+00,0.03
-4.892000e+00,0.145703
-4.891000e+00,0.0360156
-4.890000e+00,-0.103125
-4.889000e+00,-0.172734
-4.888000e+00,-0.259844
-4.887000e+00,-0.318203
-4.886000e+00,-0.307812
-4.885000e+00,-0.221953
-4.884000e+00,-0.228359
-4.883000e+00,-0.327109
-4.882000e+00,-0.261797
-4.881000e+00,-0.102891
-4.880000e+00,-0.0314062
-4.879000e+00,-0.0782031
-4.878000e+00,-0.0650781
-4.877000e+00,0.114531
-4.876000e+00,0.151328
-4.875000e+00,0.187734
-4.874000e+00,0.398281
-4.873000e+00,0.303594
-4.872000e+00,0.273984
-4.871000e+00,0.268516
-4.870000e+00,0.174063
-4.869000e+00,0.0434375
-4.868000e+00,0.0597656
-4.867000e+00,0.0916406
-4.866000e+00,-0.0265625
-4.865000e+00,-0.186016
-4.864000e+00,-0.184844
-4.863000e+00,-0.298359
-4.862000e+00,-0.260859
-4.861000e+00,-0.261562
-4.860000e+00,-0.269375
-4.859000e+00,-0.314609
-4.858000e+00,-0.279453
-4.857000e+00,-0.162969
-4.856000e+00,-0.05125
-4.855000e+00,-0.0533594
-4.854000e+00,-0.034375
-4.853000e+00,0.05625
-4.852000e+00,0.107422
-4.851000e+00,0.166719
-4.850000e+00,0.2975
-4.849000e+00,0.303125
-4.848000e+00,0.279688
-4.847000e+00,0.30625
-4.846000e+00,0.276172
-4.845000e+00,0.0607031
-4.844000e+00,0.00414063
-4.843000e+00,0.0885156
-4.842000e+00,0.0517969
-4.841000e+00,-0.131094
-4.840000e+00,-0.173281
-4.839000e+00,-0.2425
-4.838000e+00,-0.307031
-4.837000e+00,-0.308828
-4.836000e+00,-0.278438
-4.835000e+00,-0.223047
-4.834000e+00,-0.289609
-4.833000e+00,-0.236094
-4.832000e+00,-0.108203
-4.831000e+00,-0.0421094
-4.830000e+00,-0.0358594
-4.829000e+00,-0.0184375
-4.828000e+00,0.0867969
-4.827000e+00,0.123516
-4.826000e+00,0.242344
-4.825000e+00,0.304141
-4.824000e+00,0.298281
-4.823000e+00,0.284922
-4.822000e+00,0.316953
-4.821000e+00,0.199141
-4.820000e+00,-0.0203125
-4.819000e+00,0.0376563
-4.818000e+00,0.094375
-4.817000e+00,-0.0582031
-4.816000e+00,-0.171719
-4.815000e+00,-0.185625
-4.814000e+00,-0.280781
-4.813000e+00,-0.269375
-4.812000e+00,-0.252266
-4.811000e+00,-0.2575
-4.810000e+00,-0.287812
-4.809000e+00,-0.292891
-4.808000e+00,-0.209844
-4.807000e+00,-0.0590625
-4.806000e+00,-0.0201563
-4.805000e+00,0.009375
-4.804000e+00,0.0177344
-4.803000e+00,0.0619531
-4.802000e+00,0.212188
-4.801000e+00,0.279219
-4.800000e+00,0.278906
-4.799000e+00,0.318359
-4.798000e+00,0.390078
-4.797000e+00,0.27125
-4.796000e+00,0.0375781
-4.795000e+00,-0.0549219
-4.794000e+00,0.107969
-4.793000e+00,0.0557031
-4.792000e+00,-0.133516
-4.791000e+00,-0.170781
-4.790000e+00,-0.220312
-4.789000e+00,-0.304766
-4.788000e+00,-0.3425
-4.787000e+00,-0.272266
-4.786000e+00,-0.213594
-4.785000e+00,-0.305078
-4.784000e+00,-0.253984
-4.783000e+00,-0.131719
-4.782000e+00,-0.00578125
-4.781000e+00,0.0132812
-4.780000e+00,-0.0444531
-4.779000e+00,0.0528125
-4.778000e+00,0.191953
-4.777000e+00,0.213125
-4.776000e+00,0.257812
-4.775000e+00,0.323906
-4.774000e+00,0.405078
-4.773000e+00,0.288438
-4.772000e+00,0.111875
-4.771000e+00,-0.0321875
-4.770000e+00,0.04125
-4.769000e+00,0.120781
-4.768000e+00,-0.0351562
-4.767000e+00,-0.183828
-4.766000e+00,-0.158359
-4.765000e+00,-0.285313
-4.764000e+00,-0.313281
-4.763000e+00,-0.245234
-4.762000e+00,-0.245781
-4.761000e+00,-0.295938
-4.760000e+00,-0.327109
-4.759000e+00,-0.172109
-4.758000e+00,0.0090625
-4.757000e+00,-0.021875
-4.756000e+00,-0.0392187
-4.755000e+00,-0.025
-4.754000e+00,0.123125
-4.753000e+00,0.164375
-4.752000e+00,0.267031
-4.751000e+00,0.3475
-4.750000e+00,0.344766
-4.749000e+00,0.395156
-4.748000e+00,0.225781
-4.747000e+00,-0.0175781
-4.746000e+00,-0.0353125
-4.745000e+00,0.145547
-4.744000e+00,0.0280469
-4.743000e+00,-0.136406
-4.742000e+00,-0.165547
-4.741000e+00,-0.227187
-4.740000e+00,-0.278672
-4.739000e+00,-0.335078
-4.738000e+00,-0.289922
-4.737000e+00,-0.222656
-4.736000e+00,-0.334453
-4.735000e+00,-0.230078
-4.734000e+00,-0.0611719
-4.733000e+00,0.000859375
-4.732000e+00,-0.0597656
-4.731000e+00,-0.0453906
-4.730000e+00,0.0671094
-4.729000e+00,0.156328
-4.728000e+00,0.218359
-4.727000e+00,0.322188
-4.726000e+00,0.354141
-4.725000e+00,0.375234
-4.724000e+00,0.283672
-4.723000e+00,0.0619531
-4.722000e+00,-0.0276563
-4.721000e+00,0.0821094
-4.720000e+00,0.0803906
-4.719000e+00,-0.0475781
-4.718000e+00,-0.145547
-4.717000e+00,-0.155
-4.716000e+00,-0.30375
-4.715000e+00,-0.303594
-4.714000e+00,-0.296328
-4.713000e+00,-0.259844
-4.712000e+00,-0.289219
-4.711000e+00,-0.285938
-4.710000e+00,-0.105234
-4.709000e+00,-0.00609375
-4.708000e+00,-0.0261719
-4.707000e+00,-0.06625
-4.706000e+00,0.00203125
-4.705000e+00,0.112109
-4.704000e+00,0.186563
-4.703000e+00,0.305078
-4.702000e+00,0.369844
-4.701000e+00,0.308047
-4.700000e+00,0.385625
-4.699000e+00,0.21125
-4.698000e+00,-0.0314062
-4.697000e+00,0.0129688
-4.696000e+00,0.1325
-4.695000e+00,-0.0129687
-4.694000e+00,-0.111328
-4.693000e+00,-0.163047
-4.692000e+00,-0.229453
-4.691000e+00,-0.304531
-4.690000e+00,-0.302187
-4.689000e+00,-0.266016
-4.688000e+00,-0.240781
-4.687000e+00,-0.329219
-4.686000e+00,-0.224687
-4.685000e+00,-0.0741406
-4.684000e+00,0.0661719
-4.683000e+00,-0.0461719
-4.682000e+00,-0.0817969
-4.681000e+00,0.03
-4.680000e+00,0.165156
-4.679000e+00,0.277656
-4.678000e+00,0.365
-4.677000e+00,0.353672
-4.676000e+00,0.361094
-4.675000e+00,0.222656
-4.674000e+00,0.0539844
-4.673000e+00,-0.0464062
-4.672000e+00,0.083125
-4.671000e+00,0.0878125
-4.670000e+00,-0.0339844
-4.669000e+00,-0.158125
-4.668000e+00,-0.168906
-4.667000e+00,-0.292891
-4.666000e+00,-0.288828
-4.665000e+00,-0.270156
-4.664000e+00,-0.274375
-4.663000e+00,-0.323203
-4.662000e+00,-0.275234
-4.661000e+00,-0.147812
-4.660000e+00,-0.0180469
-4.659000e+00,-0.0179687
-4.658000e+00,-0.0475781
-4.657000e+00,-0.00242188
-4.656000e+00,0.125625
-4.655000e+00,0.204766
-4.654000e+00,0.335
-4.653000e+00,0.342422
-4.652000e+00,0.331406
-4.651000e+00,0.325156
-4.650000e+00,0.177969
-4.649000e+00,-0.0121094
-4.648000e+00,0.0170313
-4.647000e+00,0.145313
-4.646000e+00,0.0264844
-4.645000e+00,-0.104688
-4.644000e+00,-0.201953
-4.643000e+00,-0.299844
-4.642000e+00,-0.294844
-4.641000e+00,-0.291094
-4.640000e+00,-0.242188
-4.639000e+00,-0.230703
-4.638000e+00,-0.322969
-4.637000e+00,-0.230469
-4.636000e+00,-0.0427344
-4.635000e+00,-0.0247656
-4.634000e+00,-0.0885938
-4.633000e+00,-0.0521875
-4.632000e+00,0.130547
-4.631000e+00,0.205547
-4.630000e+00,0.239922
-4.629000e+00,0.319063
-4.628000e+00,0.375859
-4.627000e+00,0.342656
-4.626000e+00,0.201641
-4.625000e+00,0.0489063
-4.624000e+00,0.00921875
-4.623000e+00,0.135938
-4.622000e+00,0.0772656
-4.621000e+00,-0.0921094
-4.620000e+00,-0.143203
-4.619000e+00,-0.171953
-4.618000e+00,-0.31
-4.617000e+00,-0.341719
-4.616000e+00,-0.237031
-4.615000e+00,-0.201484
-4.614000e+00,-0.302266
-4.613000e+00,-0.282187
-4.612000e+00,-0.100781
-4.611000e+00,-0.0284375
-4.610000e+00,-0.100391
-4.609000e+00,-0.0869531
-4.608000e+00,0.053125
-4.607000e+00,0.159063
-4.606000e+00,0.201875
-4.605000e+00,0.326875
-4.604000e+00,0.364766
-4.603000e+00,0.315781
-4.602000e+00,0.282969
-4.601000e+00,0.1875
-4.600000e+00,0.0075
-4.599000e+00,0.0494531
-4.598000e+00,0.16375
-4.597000e+00,0.0053125
-4.596000e+00,-0.121406
-4.595000e+00,-0.170781
-4.594000e+00,-0.318516
-4.593000e+00,-0.322422
-4.592000e+00,-0.267422
-4.591000e+00,-0.219453
-4.590000e+00,-0.234219
-4.589000e+00,-0.344062
-4.588000e+00,-0.174687
-4.587000e+00,-0.0634375
-4.586000e+00,-0.0353125
-4.585000e+00,-0.0324219
-4.584000e+00,-0.0475781
-4.583000e+00,0.0877344
-4.582000e+00,0.194844
-4.581000e+00,0.264063
-4.580000e+00,0.35875
-4.579000e+00,0.319141
-4.578000e+00,0.280781
-4.577000e+00,0.242656
-4.576000e+00,0.08
-4.575000e+00,0.0257031
-4.574000e+00,0.12125
-4.573000e+00,0.0395313
-4.572000e+00,-0.0821875
-4.571000e+00,-0.145547
-4.570000e+00,-0.189609
-4.569000e+00,-0.282734
-4.568000e+00,-0.289609
-4.567000e+00,-0.276172
-4.566000e+00,-0.261562
-4.565000e+00,-0.287969
-4.564000e+00,-0.224062
-4.563000e+00,-0.129141
-4.562000e+00,-0.043125
-4.561000e+00,-0.0661719
-4.560000e+00,-0.0653906
-4.559000e+00,0.0380469
-4.558000e+00,0.149375
-4.557000e+00,0.211641
-4.556000e+00,0.382031
-4.555000e+00,0.32125
-4.554000e+00,0.240313
-4.553000e+00,0.293984
-4.552000e+00,0.228281
-4.551000e+00,0.0467969
-4.550000e+00,0.0109375
-4.549000e+00,0.108359
-4.548000e+00,0.0341406
-4.547000e+00,-0.141016
-4.546000e+00,-0.2075
-4.545000e+00,-0.288438
-4.544000e+00,-0.274844
-4.543000e+00,-0.281953
-4.542000e+00,-0.270937
-4.541000e+00,-0.255312
-4.540000e+00,-0.272031
-4.539000e+00,-0.212031
-4.538000e+00,-0.124297
-4.537000e+00,-0.01875
-4.536000e+00,-0.00210938
-4.535000e+00,0.0272656
-4.534000e+00,0.0830469
-4.533000e+00,0.15875
-4.532000e+00,0.269375
-4.531000e+00,0.346562
-4.530000e+00,0.282578
-4.529000e+00,0.295
-4.528000e+00,0.281797
-4.527000e+00,0.116719
-4.526000e+00,0.0220313
-4.525000e+00,0.06875
-4.524000e+00,0.0597656
-4.523000e+00,-0.0716406
-4.522000e+00,-0.186484
-4.521000e+00,-0.191953
-4.520000e+00,-0.262188
-4.519000e+00,-0.303359
-4.518000e+00,-0.258906
-4.517000e+00,-0.233359
-4.516000e+00,-0.278281
-4.515000e+00,-0.290938
-4.514000e+00,-0.125469
-4.513000e+00,-0.0415625
-4.512000e+00,-0.0203125
-4.511000e+00,-0.00265625
-4.510000e+00,0.0417188
-4.509000e+00,0.124453
-4.508000e+00,0.228281
-4.507000e+00,0.301172
-4.506000e+00,0.288984
-4.505000e+00,0.289609
-4.504000e+00,0.380391
-4.503000e+00,0.218594
-4.502000e+00,0.01375
-4.501000e+00,0.00414063
-4.500000e+00,0.115937
-4.499000e+00,0.0350781
-4.498000e+00,-0.136328
-4.497000e+00,-0.197656
-4.496000e+00,-0.268984
-4.495000e+00,-0.294297
-4.494000e+00,-0.295781
-4.493000e+00,-0.23375
-4.492000e+00,-0.211406
-4.491000e+00,-0.326094
-4.490000e+00,-0.228906
-4.489000e+00,-0.0753125
-4.488000e+00,0.00164062
-4.487000e+00,-0.00804688
-4.486000e+00,-0.0209375
-4.485000e+00,0.10875
-4.484000e+00,0.221875
-4.483000e+00,0.22
-4.482000e+00,0.28375
-4.481000e+00,0.320078
-4.480000e+00,0.383594
-4.479000e+00,0.304922
-4.478000e+00,0.0514063
-4.477000e+00,-0.0123437
-4.476000e+00,0.091875
-4.475000e+00,0.065
-4.474000e+00,-0.107578
-4.473000e+00,-0.182891
-4.472000e+00,-0.172578
-4.471000e+00,-0.276406
-4.470000e+00,-0.304141
-4.469000e+00,-0.244297
-4.468000e+00,-0.227422
-4.467000e+00,-0.317031
-4.466000e+00,-0.303906
-4.465000e+00,-0.127422
-4.464000e+00,0.0253906
-4.463000e+00,-0.0183594
-4.462000e+00,-0.0720313
-4.461000e+00,0.0439844
-4.460000e+00,0.180938
-4.459000e+00,0.163828
-4.458000e+00,0.277734
-4.457000e+00,0.348828
-4.456000e+00,0.378438
-4.455000e+00,0.355469
-4.454000e+00,0.175
-4.453000e+00,-0.0397656
-4.452000e+00,0.0216406
-4.451000e+00,0.138125
-4.450000e+00,-0.036875
-4.449000e+00,-0.141094
-4.448000e+00,-0.133281
-4.447000e+00,-0.262734
-4.446000e+00,-0.308203
-4.445000e+00,-0.284141
-4.444000e+00,-0.268437
-4.443000e+00,-0.251719
-4.442000e+00,-0.334531
-4.441000e+00,-0.152734
-4.440000e+00,-0.0271094
-4.439000e+00,-0.00210938
-4.438000e+00,-0.0582031
-4.437000e+00,-0.0298438
-4.436000e+00,0.126094
-4.435000e+00,0.1725
-4.434000e+00,0.250234
-4.433000e+00,0.322266
-4.432000e+00,0.358594
-4.431000e+00,0.400313
-4.430000e+00,0.237813
-4.429000e+00,0.0115625
-4.428000e+00,-0.0158594
-4.427000e+00,0.134844
-4.426000e+00,0.0234375
-4.425000e+00,-0.108984
-4.424000e+00,-0.142656
-4.423000e+00,-0.155234
-4.422000e+00,-0.258281
-4.421000e+00,-0.304375
-4.420000e+00,-0.276328
-4.419000e+00,-0.22
-4.418000e+00,-0.337578
-4.417000e+00,-0.285156
-4.416000e+00,-0.121797
-4.415000e+00,0.0221094
-4.414000e+00,-0.00726562
-4.413000e+00,-0.0438281
-4.412000e+00,0.0442188
-4.411000e+00,0.123281
-4.410000e+00,0.175859
-4.409000e+00,0.321641
-4.408000e+00,0.376406
-4.407000e+00,0.365391
-4.406000e+00,0.311484
-4.405000e+00,0.161016
-4.404000e+00,0.00476562
-4.403000e+00,0.0651562
-4.402000e+00,0.0978906
-4.401000e+00,-0.0414844
-4.400000e+00,-0.126719
-4.399000e+00,-0.143594
-4.398000e+00,-0.270859
-4.397000e+00,-0.291563
-4.396000e+00,-0.279297
-4.395000e+00,-0.264141
-4.394000e+00,-0.290781
-4.393000e+00,-0.290703
-4.392000e+00,-0.115625
-4.391000e+00,-0.0453906
-4.390000e+00,-0.0133594
-4.389000e+00,-0.0452344
-4.388000e+00,-0.0316406
-4.387000e+00,0.0852344
-4.386000e+00,0.175078
-4.385000e+00,0.284844
-4.384000e+00,0.368047
-4.383000e+00,0.343203
-4.382000e+00,0.371797
-4.381000e+00,0.213906
-4.380000e+00,-0.0171875
-4.379000e+00,0.0078125
-4.378000e+00,0.118516
-4.377000e+00,0.0492188
-4.376000e+00,-0.0675781
-4.375000e+00,-0.141016
-4.374000e+00,-0.218047
-4.373000e+00,-0.299844
-4.372000e+00,-0.309375
-4.371000e+00,-0.251719
-4.370000e+00,-0.203437
-4.369000e+00,-0.315391
-4.368000e+00,-0.26875
-4.367000e+00,-0.111328
-4.366000e+00,0.0185937
-4.365000e+00,-0.0611719
-4.364000e+00,-0.0775
-4.363000e+00,0.0780469
-4.362000e+00,0.157891
-4.361000e+00,0.176797
-4.360000e+00,0.342422
-4.359000e+00,0.398594
-4.358000e+00,0.368672
-4.357000e+00,0.286641
-4.356000e+00,0.130781
-4.355000e+00,-0.00867188
-4.354000e+00,0.0560938
-4.353000e+00,0.112656
-4.352000e+00,-0.0255469
-4.351000e+00,-0.14125
-4.350000e+00,-0.169609
-4.349000e+00,-0.295391
-4.348000e+00,-0.284531
-4.347000e+00,-0.274844
-4.346000e+00,-0.241563
-4.345000e+00,-0.277187
-4.344000e+00,-0.290547
-4.343000e+00,-0.145547
-4.342000e+00,-0.0271094
-4.341000e+00,-0.0367969
-4.340000e+00,-0.0741406
-4.339000e+00,-0.0199219
-4.338000e+00,0.0953125
-4.337000e+00,0.213984
-4.336000e+00,0.301953
-4.335000e+00,0.382812
-4.334000e+00,0.363594
-4.333000e+00,0.319688
-4.332000e+00,0.178594
-4.331000e+00,-0.0053125
-4.330000e+00,0.0339062
-4.329000e+00,0.128047
-4.328000e+00,0.0716406
-4.327000e+00,-0.0699219
-4.326000e+00,-0.166094
-4.325000e+00,-0.216094
-4.324000e+00,-0.303594
-4.323000e+00,-0.320312
-4.322000e+00,-0.232187
-4.321000e+00,-0.195078
-4.320000e+00,-0.305312
-4.319000e+00,-0.263125
-4.318000e+00,-0.08375
-4.317000e+00,-0.0129687
-4.316000e+00,-0.0953125
-4.315000e+00,-0.0585937
-4.314000e+00,0.0767188
-4.313000e+00,0.162656
-4.312000e+00,0.238203
-4.311000e+00,0.383203
-4.310000e+00,0.389688
-4.309000e+00,0.316172
-4.308000e+00,0.222344
-4.307000e+00,0.155391
-4.306000e+00,0.0189062
-4.305000e+00,0.0727344
-4.304000e+00,0.101719
-4.303000e+00,-0.0236719
-4.302000e+00,-0.163437
-4.301000e+00,-0.160703
-4.300000e+00,-0.319297
-4.299000e+00,-0.299687
-4.298000e+00,-0.225625
-4.297000e+00,-0.246016
-4.296000e+00,-0.311016
-4.295000e+00,-0.250703
-4.294000e+00,-0.129141
-4.293000e+00,-0.0364844
-4.292000e+00,-0.08
-4.291000e+00,-0.0422656
-4.290000e+00,0.0560156
-4.289000e+00,0.0998437
-4.288000e+00,0.162656
-4.287000e+00,0.313281
-4.286000e+00,0.384766
-4.285000e+00,0.318906
-4.284000e+00,0.262344
-4.283000e+00,0.214531
-4.282000e+00,0.0352344
-4.281000e+00,0.0545313
-4.280000e+00,0.127422
-4.279000e+00,0.0360156
-4.278000e+00,-0.0939844
-4.277000e+00,-0.165781
-4.276000e+00,-0.25125
-4.275000e+00,-0.280781
-4.274000e+00,-0.287812
-4.273000e+00,-0.251875
-4.272000e+00,-0.259453
-4.271000e+00,-0.298281
-4.270000e+00,-0.215938
-4.269000e+00,-0.0790625
-4.268000e+00,-0.0239844
-4.267000e+00,-0.0730469
-4.266000e+00,-0.0374219
-4.265000e+00,0.091875
-4.264000e+00,0.150938
-4.263000e+00,0.213359
-4.262000e+00,0.354063
-4.261000e+00,0.328828
-4.260000e+00,0.294766
-4.259000e+00,0.278281
-4.258000e+00,0.184375
-4.257000e+00,0.0348437
-4.256000e+00,0.0724219
-4.255000e+00,0.0858594
-4.254000e+00,-0.00695312
-4.253000e+00,-0.180938
-4.252000e+00,-0.244688
-4.251000e+00,-0.287422
-4.250000e+00,-0.282031
-4.249000e+00,-0.232969
-4.248000e+00,-0.244141
-4.247000e+00,-0.285547
-4.246000e+00,-0.26
-4.245000e+00,-0.155078
-4.244000e+00,-0.0582812
-4.243000e+00,-0.0802344
-4.242000e+00,0.00625
-4.241000e+00,0.0634375
-4.240000e+00,0.102344
-4.239000e+00,0.201719
-4.238000e+00,0.329766
-4.237000e+00,0.302187
-4.236000e+00,0.267188
-4.235000e+00,0.323203
-4.234000e+00,0.278438
-4.233000e+00,0.0550781
-4.232000e+00,-0.0100781
-4.231000e+00,0.112891
-4.230000e+00,0.0673437
-4.229000e+00,-0.121016
-4.228000e+00,-0.171172
-4.227000e+00,-0.245078
-4.226000e+00,-0.261719
-4.225000e+00,-0.311563
-4.224000e+00,-0.257109
-4.223000e+00,-0.217422
-4.222000e+00,-0.277578
-4.221000e+00,-0.267422
-4.220000e+00,-0.137187
-4.219000e+00,0.00726562
-4.218000e+00,0.00664063
-4.217000e+00,-0.0372656
-4.216000e+00,0.0286719
-4.215000e+00,0.205
-4.214000e+00,0.241719
-4.213000e+00,0.278516
-4.212000e+00,0.312734
-4.211000e+00,0.365313
-4.210000e+00,0.343047
-4.209000e+00,0.162656
-4.208000e+00,-0.0127344
-4.207000e+00,0.0583594
-4.206000e+00,0.0929688
-4.205000e+00,-0.0246094
-4.204000e+00,-0.19625
-4.203000e+00,-0.194375
-4.202000e+00,-0.289922
-4.201000e+00,-0.276562
-4.200000e+00,-0.226172
-4.199000e+00,-0.221875
-4.198000e+00,-0.298906
-4.197000e+00,-0.332344
-4.196000e+00,-0.179688
-4.195000e+00,-0.0200781
-4.194000e+00,0.0123438
-4.193000e+00,0.0175781
-4.192000e+00,0.0300781
-4.191000e+00,0.083125
-4.190000e+00,0.181094
-4.189000e+00,0.263672
-4.188000e+00,0.322188
-4.187000e+00,0.293984
-4.186000e+00,0.386563
-4.185000e+00,0.288359
-4.184000e+00,-0.00132812
-4.183000e+00,-0.0304687
-4.182000e+00,0.123281
-4.181000e+00,0.0319531
-4.180000e+00,-0.137109
-4.179000e+00,-0.173359
-4.178000e+00,-0.209062
-4.177000e+00,-0.238047
-4.176000e+00,-0.297969
-4.175000e+00,-0.280625
-4.174000e+00,-0.240781
-4.173000e+00,-0.355078
-4.172000e+00,-0.259297
-4.171000e+00,-0.0704688
