TIME,CH1
-5.000000e+00,0.151016
-4.999000e+00,0.138594
-4.998000e+00,0.161719
-4.997000e+00,0.299375
-4.996000e+00,0.285547
-4.995000e+00,0.246641
-4.994000e+00,0.178125
-4.993000e+00,0.215547
-4.992000e+00,0.259531
-4.991000e+00,0.168906
-4.990000e+00,0.153828
-4.989000e+00,0.129297
-4.988000e+00,0.0283594
-4.987000e+00,0.0132031
-4.986000e+00,0.063125
-4.985000e+00,-0.00734375
-4.984000e+00,-0.0651562
-4.983000e+00,-0.188516
-4.982000e+00,-0.228438
-4.981000e+00,-0.253906
-4.980000e+00,-0.225469
-4.979000e+00,-0.228281
-4.978000e+00,-0.186797
-4.977000e+00,-0.137656
-4.976000e+00,-0.16625
-4.975000e+00,-0.0526563
-4.974000e+00,-0.121719
-4.973000e+00,-0.0249219
-4.972000e+00,0.0210156
-4.971000e+00,0.0650781
-4.970000e+00,0.135469
-4.969000e+00,0.111953
-4.968000e+00,0.294922
-4.967000e+00,0.337734
-4.966000e+00,0.274688
-4.965000e+00,0.1075
-4.964000e+00,0.200391
-4.963000e+00,0.238672
-4.962000e+00,0.242031
-4.961000e+00,0.134766
-4.960000e+00,0.152266
-4.959000e+00,0.0909375
-4.958000e+00,0.0592969
-4.957000e+00,0.0357813
-4.956000e+00,0.00835938
-4.955000e+00,-0.0335937
-4.954000e+00,-0.119766
-4.953000e+00,-0.251406
-4.952000e+00,-0.217344
-4.951000e+00,-0.262031
-4.950000e+00,-0.185625
-4.949000e+00,-0.188594
-4.948000e+00,-0.175391
-4.947000e+00,-0.240078
-4.946000e+00,-0.06625
-4.945000e+00,-0.128125
-4.944000e+00,-0.0471875
-4.943000e+00,0.0485937
-4.942000e+00,0.0211719
-4.941000e+00,0.12
-4.940000e+00,0.116797
-4.939000e+00,0.175703
-4.938000e+00,0.304688
-4.937000e+00,0.281641
-4.936000e+00,0.231094
-4.935000e+00,0.166406
-4.934000e+00,0.225547
-4.933000e+00,0.246641
-4.932000e+00,0.185703
-4.931000e+00,0.144844
-4.930000e+00,0.136719
-4.929000e+00,0.0209375
-4.928000e+00,0.00851563
-4.927000e+00,0.05875
-4.926000e+00,-0.00898438
-4.925000e+00,-0.0853125
-4.924000e+00,-0.164609
-4.923000e+00,-0.213594
-4.922000e+00,-0.239531
-4.921000e+00,-0.237578
-4.920000e+00,-0.226094
-4.919000e+00,-0.179219
-4.918000e+00,-0.154922
-4.917000e+00,-0.158281
-4.916000e+00,-0.0905469
-4.915000e+00,-0.112578
-4.914000e+00,-0.0078125
-4.913000e+00,0.0328906
-4.912000e+00,0.0666406
-4.911000e+00,0.127188
-4.910000e+00,0.133984
-4.909000e+00,0.258125
-4.908000e+00,0.279922
-4.907000e+00,0.290391
-4.906000e+00,0.141328
-4.905000e+00,0.224297
-4.904000e+00,0.245
-4.903000e+00,0.230313
-4.902000e+00,0.167578
-4.901000e+00,0.137109
-4.900000e+00,0.0684375
-4.899000e+00,0.0484375
-4.898000e+00,0.0352344
-4.897000e+00,0.009375
-4.896000e+00,-0.0392969
-4.895000e+00,-0.0971875
-4.894000e+00,-0.231172
-4.893000e+00,-0.230391
-4.892000e+00,-0.260937
-4.891000e+00,-0.201797
-4.890000e+00,-0.165625
-4.889000e+00,-0.202031
-4.888000e+00,-0.20125
-4.887000e+00,-0.0810156
-4.886000e+00,-0.167813
-4.885000e+00,-0.0128125
-4.884000e+00,0.0707813
-4.883000e+00,-0.0101563
-4.882000e+00,0.114453
-4.881000e+00,0.133203
-4.880000e+00,0.160234
