TIME,CH1
-5.000000e+00,0.0453125
-4.999000e+00,-0.0178906
-4.998000e+00,0.0470313
-4.997000e+00,-0.0121094
-4.996000e+00,0.0289844
-4.995000e+00,0.0542188
-4.994000e+00,-0.0109375
-4.993000e+00,0.0114844
-4.992000e+00,-0.0380469
-4.991000e+00,-0.0620313
-4.990000e+00,-0.089375
-4.989000e+00,-0.084375
-4.988000e+00,-0.129453
-4.987000e+00,-0.144453
-4.986000e+00,-0.137656
-4.985000e+00,-0.0878125
-4.984000e+00,-0.105313
-4.983000e+00,-0.0540625
-4.982000e+00,0.0278125
-4.981000e+00,-0.0532813
-4.980000e+00,0.0721094
-4.979000e+00,0.04625
-4.978000e+00,0.0203906
-4.977000e+00,0.164297
-4.976000e+00,0.135938
-4.975000e+00,0.0814062
-4.974000e+00,0.0279688
-4.973000e+00,0.0889844
-4.972000e+00,0.117656
-4.971000e+00,0
-4.970000e+00,0.0501562
-4.969000e+00,0.117813
-4.968000e+00,-0.0385156
-4.967000e+00,-0.0192187
-4.966000e+00,0.0567969
-4.965000e+00,0.023125
-4.964000e+00,0.043125
-4.963000e+00,-0.0528906
-4.962000e+00,-0.1025
-4.961000e+00,-0.0425781
-4.960000e+00,-0.07875
-4.959000e+00,-0.122891
-4.958000e+00,-0.139141
-4.957000e+00,-0.0792969
-4.956000e+00,-0.139141
-4.955000e+00,-0.0799219
-4.954000e+00,-0.128906
-4.953000e+00,0.00523438
-4.952000e+00,0.0155469
-4.951000e+00,-0.0101563
-4.950000e+00,0.0328906
-4.949000e+00,0.0317188
-4.948000e+00,0.138359
-4.947000e+00,0.159375
-4.946000e+00,0.0882031
-4.945000e+00,0.0301562
-4.944000e+00,0.110859
-4.943000e+00,0.0685937
-4.942000e+00,0.0442969
-4.941000e+00,0.0425781
-4.940000e+00,0.0497656
-4.939000e+00,0.0340625
-4.938000e+00,-0.0188281
-4.937000e+00,0.0153125
-4.936000e+00,0.0649219
-4.935000e+00,0.011875
-4.934000e+00,0.00507813
-4.933000e+00,-0.0878125
-4.932000e+00,-0.0860937
-4.931000e+00,-0.0917969
-4.930000e+00,-0.0847656
-4.929000e+00,-0.118984
-4.928000e+00,-0.0936719
-4.927000e+00,-0.159219
-4.926000e+00,-0.0595313
-4.925000e+00,-0.127188
-4.924000e+00,-0.0633594
-4.923000e+00,0.03125
-4.922000e+00,-0.0821875
-4.921000e+00,0.0628125
-4.920000e+00,0.118594
-4.919000e+00,0.0608594
-4.918000e+00,0.148125
-4.917000e+00,0.104063
-4.916000e+00,0.0709375
-4.915000e+00,0.05875
-4.914000e+00,0.0563281
-4.913000e+00,0.0961719
-4.912000e+00,0.0241406
-4.911000e+00,0.0432031
-4.910000e+00,0.0711719
-4.909000e+00,-0.0398438
-4.908000e+00,-0.000546875
-4.907000e+00,0.106094
-4.906000e+00,-0.00390625
-4.905000e+00,0.000390625
-4.904000e+00,-0.0458594
-4.903000e+00,-0.0859375
-4.902000e+00,-0.0778125
-4.901000e+00,-0.08125
-4.900000e+00,-0.112578
-4.899000e+00,-0.0898438
-4.898000e+00,-0.109844
-4.897000e+00,-0.14875
-4.896000e+00,-0.107734
-4.895000e+00,-0.0758594
-4.894000e+00,-0.00078125
-4.893000e+00,-0.0320312
-4.892000e+00,0.0307031
-4.891000e+00,0.0746875
-4.890000e+00,0.0307031
-4.889000e+00,0.144297
-4.888000e+00,0.144063
-4.887000e+00,0.119609
-4.886000e+00,0.0386719
-4.885000e+00,0.04375
