TIME,CH1
-5.000000e+00,0.0971875
-4.999000e+00,0.135547
-4.998000e+00,-0.0635156
-4.997000e+00,0.186016
-4.996000e+00,-0.01375
-4.995000e+00,-0.208828
-4.994000e+00,-0.160781
-4.993000e+00,-0.139922
-4.992000e+00,-0.0842187
-4.991000e+00,-0.107109
-4.990000e+00,-0.054375
-4.989000e+00,-0.0946875
-4.988000e+00,0.177656
-4.987000e+00,0.1425
-4.986000e+00,0.0985938
-4.985000e+00,0.209141
-4.984000e+00,0.0682813
-4.983000e+00,0.0301562
-4.982000e+00,0.116094
-4.981000e+00,0.104063
-4.980000e+00,0.107734
-4.979000e+00,0.167578
-4.978000e+00,0.0096875
-4.977000e+00,0.114687
-4.976000e+00,0.0752344
-4.975000e+00,-0.0223437
-4.974000e+00,0.452422
-4.973000e+00,-0.123047
-4.972000e+00,-0.137109
-4.971000e+00,0.320937
-4.970000e+00,0.113516
-4.969000e+00,0.219922
-4.968000e+00,-0.12125
-4.967000e+00,-0.133359
-4.966000e+00,0.0439063
-4.965000e+00,-0.123672
-4.964000e+00,-0.156641
-4.963000e+00,-0.279375
-4.962000e+00,-0.0707813
-4.961000e+00,0.0240625
-4.960000e+00,-0.0229687
-4.959000e+00,0.0624219
-4.958000e+00,0.0785938
-4.957000e+00,0.138047
-4.956000e+00,0.167813
-4.955000e+00,0.132812
-4.954000e+00,0.0402344
-4.953000e+00,0.0141406
-4.952000e+00,0.16875
-4.951000e+00,0.200859
-4.950000e+00,0.110625
-4.949000e+00,0.005
-4.948000e+00,0.184141
-4.947000e+00,0.0585156
-4.946000e+00,0.0975781
-4.945000e+00,0.0539063
-4.944000e+00,-0.233125
-4.943000e+00,0.493984
-4.942000e+00,0.0964062
-4.941000e+00,-0.0690625
-4.940000e+00,0.232656
-4.939000e+00,-0.0378906
-4.938000e+00,0.188359
-4.937000e+00,-0.207187
-4.936000e+00,-0.310625
-4.935000e+00,-0.0544531
-4.934000e+00,-0.174766
-4.933000e+00,-0.0178906
-4.932000e+00,-0.100547
-4.931000e+00,-0.0423437
-4.930000e+00,0.07
-4.929000e+00,0.155078
-4.928000e+00,0.0709375
-4.927000e+00,0.0814062
-4.926000e+00,0.190938
-4.925000e+00,0.0367969
-4.924000e+00,0.0151562
-4.923000e+00,0.238281
-4.922000e+00,0.148672
-4.921000e+00,0.134922
-4.920000e+00,0.0654688
-4.919000e+00,-0.0361719
-4.918000e+00,0.00429688
-4.917000e+00,0.493984
-4.916000e+00,-0.159453
-4.915000e+00,-0.195938
-4.914000e+00,0.354609
-4.913000e+00,0.0721094
-4.912000e+00,0.371484
-4.911000e+00,-0.0849219
-4.910000e+00,-0.140391
-4.909000e+00,0.268906
-4.908000e+00,-0.134766
-4.907000e+00,-0.0647656
-4.906000e+00,-0.312266
-4.905000e+00,-0.263594
-4.904000e+00,0.0325
-4.903000e+00,0.0564062
-4.902000e+00,-0.0382813
-4.901000e+00,-0.115078
-4.900000e+00,0.069375
-4.899000e+00,0.114297
-4.898000e+00,0.231875
-4.897000e+00,0.11625
-4.896000e+00,-0.106953
-4.895000e+00,0.142656
-4.894000e+00,0.33375
-4.893000e+00,0.159219
-4.892000e+00,0.0633594
-4.891000e+00,0.0320312
-4.890000e+00,-0.00351563
-4.889000e+00,0.0757813
-4.888000e+00,0.130391
-4.887000e+00,-0.133516
-4.886000e+00,0.461484
-4.885000e+00,-0.0521094
-4.884000e+00,-0.108516
-4.883000e+00,0.508594
-4.882000e+00,0.00335937
-4.881000e+00,0.177266
-4.880000e+00,-0.153203
-4.879000e+00,-0.214766
-4.878000e+00,0.179219
-4.877000e+00,-0.283594
-4.876000e+00,-0.20375
-4.875000e+00,-0.111563
-4.874000e+00,0.00460937
-4.873000e+00,0.00367188
-4.872000e+00,-0.00078125
-4.871000e+00,-0.0380469
-4.870000e+00,-0.00195312
-4.869000e+00,0.277031
-4.868000e+00,0.061875
-4.867000e+00,0.00484375
-4.866000e+00,0.219688
-4.865000e+00,0.174766
-4.864000e+00,0.144063
-4.863000e+00,0.209922
-4.862000e+00,0.009375
-4.861000e+00,-0.0363281
-4.860000e+00,0.206875
-4.859000e+00,-0.102813
-4.858000e+00,-0.174219
-4.857000e+00,0.471094
-4.856000e+00,-0.0325
-4.855000e+00,0.240234
-4.854000e+00,0.171641
-4.853000e+00,-0.0641406
-4.852000e+00,0.360469
-4.851000e+00,-0.153203
-4.850000e+00,0.00210938
-4.849000e+00,-0.0624219
-4.848000e+00,-0.397734
-4.847000e+00,-0.0288281
-4.846000e+00,0
-4.845000e+00,-0.0684375
-4.844000e+00,-0.105781
-4.843000e+00,-0.0288281
-4.842000e+00,-0.00757812
-4.841000e+00,0.150703
-4.840000e+00,0.11125
-4.839000e+00,-0.127969
-4.838000e+00,0.205234
-4.837000e+00,0.283672
-4.836000e+00,0.0928906
-4.835000e+00,0.146172
-4.834000e+00,0.171797
-4.833000e+00,0.0748438
-4.832000e+00,0.0754688
-4.831000e+00,0.0653125
-4.830000e+00,-0.101641
-4.829000e+00,0.103281
-4.828000e+00,0.0678125
-4.827000e+00,-0.000390625
-4.826000e+00,0.468281
-4.825000e+00,-0.0189062
-4.824000e+00,0.110859
-4.823000e+00,0.185312
-4.822000e+00,-0.186641
-4.821000e+00,0.236172
-4.820000e+00,-0.183672
-4.819000e+00,-0.299609
-4.818000e+00,-0.00257813
-4.817000e+00,-0.0847656
-4.816000e+00,-0.117031
-4.815000e+00,0.0192969
-4.814000e+00,-0.0279688
-4.813000e+00,-0.105391
-4.812000e+00,0.116875
-4.811000e+00,0.00820313
-4.810000e+00,0.00703125
-4.809000e+00,0.250937
-4.808000e+00,0.128359
-4.807000e+00,0.137266
-4.806000e+00,0.219062
-4.805000e+00,0.100859
-4.804000e+00,0.107109
-4.803000e+00,0.051875
-4.802000e+00,-0.0392188
-4.801000e+00,-0.0295313
-4.800000e+00,0.11125
-4.799000e+00,0.0471875
-4.798000e+00,0.319063
-4.797000e+00,0.142891
-4.796000e+00,-0.0497656
-4.795000e+00,0.261719
-4.794000e+00,0.0778125
-4.793000e+00,0.109063
-4.792000e+00,-0.00578125
-4.791000e+00,-0.294297
-4.790000e+00,0.0078125
-4.789000e+00,0.00875
-4.788000e+00,-0.192656
-4.787000e+00,-0.113672
-4.786000e+00,-0.0270312
-4.785000e+00,-0.0657031
-4.784000e+00,0.0348437
-4.783000e+00,0.0096875
-4.782000e+00,-0.142266
-4.781000e+00,0.164062
