TIME,CH1
-5.000000e+00,0.0432813
-4.999000e+00,0.100391
-4.998000e+00,0.127656
-4.997000e+00,0.230078
-4.996000e+00,0.0352344
-4.995000e+00,-0.0935938
-4.994000e+00,0.0957812
-4.993000e+00,-0.0495312
-4.992000e+00,-0.0598437
-4.991000e+00,0.112891
-4.990000e+00,-0.0765625
-4.989000e+00,0.0986719
-4.988000e+00,0.133438
-4.987000e+00,0.110156
-4.986000e+00,0.105703
-4.985000e+00,0.0916406
-4.984000e+00,0.110312
-4.983000e+00,0.0802344
-4.982000e+00,-0.117188
-4.981000e+00,0.159531
-4.980000e+00,-0.05625
-4.979000e+00,-0.182656
-4.978000e+00,-0.116953
-4.977000e+00,-0.0658594
-4.976000e+00,-0.133281
-4.975000e+00,-0.0761719
-4.974000e+00,-0.0703125
-4.973000e+00,0.0517969
-4.972000e+00,0.185313
-4.971000e+00,0.0442188
-4.970000e+00,-0.00398438
-4.969000e+00,0.261563
-4.968000e+00,0.115156
-4.967000e+00,0.0166406
-4.966000e+00,-0.0614844
-4.965000e+00,-0.0178125
-4.964000e+00,0.0655469
-4.963000e+00,-0.0692969
-4.962000e+00,0.050625
-4.961000e+00,0.06
-4.960000e+00,0.0503906
-4.959000e+00,0.129922
-4.958000e+00,0.125312
-4.957000e+00,-0.00421875
-4.956000e+00,0.119688
-4.955000e+00,0.162578
-4.954000e+00,0.00804688
-4.953000e+00,-0.0382031
-4.952000e+00,0.0942187
-4.951000e+00,-0.00648437
-4.950000e+00,-0.0996094
-4.949000e+00,-0.285156
-4.948000e+00,-0.0738281
-4.947000e+00,-0.0125
-4.946000e+00,-0.141094
-4.945000e+00,-0.021875
-4.944000e+00,0.0292969
-4.943000e+00,0.149375
-4.942000e+00,0.0982813
-4.941000e+00,-0.0535938
-4.940000e+00,0.226172
-4.939000e+00,0.232813
-4.938000e+00,-0.108047
-4.937000e+00,-0.0717969
-4.936000e+00,0.141797
-4.935000e+00,0.00609375
-4.934000e+00,-0.0803906
-4.933000e+00,0.0438281
-4.932000e+00,-0.00539062
-4.931000e+00,0.231797
-4.930000e+00,0.033125
-4.929000e+00,0.0314063
-4.928000e+00,0.0325
-4.927000e+00,0.141172
-4.926000e+00,0.189219
-4.925000e+00,0.0111719
-4.924000e+00,-0.13
-4.923000e+00,0.276328
-4.922000e+00,-0.0551562
-4.921000e+00,-0.240547
-4.920000e+00,-0.225859
-4.919000e+00,-0.0535156
-4.918000e+00,-0.00359375
-4.917000e+00,-0.154688
-4.916000e+00,-0.0823438
-4.915000e+00,0.0982031
-4.914000e+00,0.19625
-4.913000e+00,0.0511719
-4.912000e+00,0.01625
-4.911000e+00,0.168672
-4.910000e+00,0.185391
-4.909000e+00,-0.01375
-4.908000e+00,-0.109141
-4.907000e+00,0.106016
-4.906000e+00,0.00828125
-4.905000e+00,-0.0745313
-4.904000e+00,0.0994531
-4.903000e+00,0.0271094
-4.902000e+00,0.113281
-4.901000e+00,0.0724219
-4.900000e+00,-0.0148438
-4.899000e+00,0.0636719
-4.898000e+00,0.222656
-4.897000e+00,0.156797
-4.896000e+00,0.004375
