TIME,CH1
-5.000000e+00,-0.034375
-4.999000e+00,0.119609
-4.998000e+00,-0.0090625
-4.997000e+00,-0.0425
-4.996000e+00,-0.044375
-4.995000e+00,-0.0260156
-4.994000e+00,-0.0110156
-4.993000e+00,0.0260937
-4.992000e+00,0.0078125
-4.991000e+00,-0.0351562
-4.990000e+00,0.00976562
-4.989000e+00,0.0452344
-4.988000e+00,-0.0247656
-4.987000e+00,-0.0494531
-4.986000e+00,-0.00648437
-4.985000e+00,-0.0150781
-4.984000e+00,0.150938
-4.983000e+00,-0.0192969
-4.982000e+00,0.0914844
-4.981000e+00,0.0592188
-4.980000e+00,0.0289063
-4.979000e+00,0.122734
-4.978000e+00,-0.0490625
-4.977000e+00,-0.0442188
-4.976000e+00,-0.0240625
-4.975000e+00,0.0269531
-4.974000e+00,0.13125
-4.973000e+00,-0.0411719
-4.972000e+00,-0.12625
-4.971000e+00,-0.0467969
-4.970000e+00,0.114609
-4.969000e+00,0.0613281
-4.968000e+00,-0.111484
-4.967000e+00,-0.100859
-4.966000e+00,0.0957812
-4.965000e+00,0.0298438
-4.964000e+00,-0.0873438
-4.963000e+00,-0.0335156
-4.962000e+00,0.0934375
-4.961000e+00,-0.03625
-4.960000e+00,0.0109375
-4.959000e+00,0.0228125
-4.958000e+00,-0.0121094
-4.957000e+00,0.00164062
-4.956000e+00,-0.0539062
-4.955000e+00,0.116562
-4.954000e+00,0.0508594
-4.953000e+00,-0.0149219
-4.952000e+00,0.0971094
-4.951000e+00,0.0200781
-4.950000e+00,0.0922656
-4.949000e+00,0.0150781
-4.948000e+00,0.00921875
-4.947000e+00,-0.079375
-4.946000e+00,0.127266
-4.945000e+00,0.0328906
-4.944000e+00,-0.0539062
-4.943000e+00,-0.148984
-4.942000e+00,-0.089375
-4.941000e+00,0.137109
-4.940000e+00,0.0976562
-4.939000e+00,-0.0845313
-4.938000e+00,-0.0934375
-4.937000e+00,0.128828
-4.936000e+00,0.0463281
-4.935000e+00,-0.115625
-4.934000e+00,-0.0539062
-4.933000e+00,0.0595313
-4.932000e+00,-0.0111719
-4.931000e+00,-0.0973438
-4.930000e+00,-0.008125
-4.929000e+00,0.0229688
-4.928000e+00,0.122422
-4.927000e+00,-0.0160156
-4.926000e+00,0.0566406
-4.925000e+00,0.0317188
-4.924000e+00,0.0249219
