TIME,CH1
-5.000000e+00,-0.0176562
-4.999000e+00,0.0349219
-4.998000e+00,-0.0510156
-4.997000e+00,0.004375
-4.996000e+00,0.137891
-4.995000e+00,0.0383594
-4.994000e+00,-0.059375
-4.993000e+00,-0.0469531
-4.992000e+00,0.0078125
-4.991000e+00,-0.0490625
-4.990000e+00,-0.0119531
-4.989000e+00,-0.0411719
-4.988000e+00,-0.00773437
-4.987000e+00,0.0902344
-4.986000e+00,-0.0201563
-4.985000e+00,-0.0410937
-4.984000e+00,0.0469531
-4.983000e+00,0.00453125
-4.982000e+00,0.0420312
-4.981000e+00,0.155625
-4.980000e+00,-0.145703
-4.979000e+00,0.0564063
-4.978000e+00,0.124141
-4.977000e+00,0.00648438
-4.976000e+00,0.201875
-4.975000e+00,-0.0335937
-4.974000e+00,0.0385938
-4.973000e+00,0.0152344
-4.972000e+00,-0.125859
-4.971000e+00,-0.0375781
-4.970000e+00,0.0724219
-4.969000e+00,-0.0308594
-4.968000e+00,-0.0189844
-4.967000e+00,0.132266
-4.966000e+00,0.00375
-4.965000e+00,-0.0179687
-4.964000e+00,-0.0475
-4.963000e+00,0.0371875
-4.962000e+00,-0.0292188
-4.961000e+00,-0.0240625
-4.960000e+00,-0.118359
-4.959000e+00,-0.00203125
-4.958000e+00,0.109297
-4.957000e+00,0.0153906
-4.956000e+00,-0.0786719
-4.955000e+00,0.0264844
-4.954000e+00,0.0628906
-4.953000e+00,0.0310156
-4.952000e+00,0.135391
-4.951000e+00,-0.127266
-4.950000e+00,0.0290625
-4.949000e+00,0.156719
-4.948000e+00,0.0421094
-4.947000e+00,0.142344
-4.946000e+00,0.0251562
-4.945000e+00,-0.0438281
-4.944000e+00,-0.104297
-4.943000e+00,0.0426562
-4.942000e+00,-0.0059375
-4.941000e+00,-0.0028125
-4.940000e+00,0.021875
-4.939000e+00,-0.0320312
-4.938000e+00,0.0826563
-4.937000e+00,0.101172
-4.936000e+00,-0.0895313
-4.935000e+00,-0.0953906
-4.934000e+00,0.0692969
-4.933000e+00,-0.0346875
-4.932000e+00,-0.060625
-4.931000e+00,-0.000859375
-4.930000e+00,-0.0370313
-4.929000e+00,0.070625
-4.928000e+00,0.0627344
-4.927000e+00,-0.133437
-4.926000e+00,0.0364063
-4.925000e+00,0.12375
-4.924000e+00,-0.071875
-4.923000e+00,0.176016
-4.922000e+00,-0.121016
-4.921000e+00,0.0764844
-4.920000e+00,0.263281
-4.919000e+00,-0.0428906
-4.918000e+00,0.0397656
-4.917000e+00,0.0898438
-4.916000e+00,-0.161406
-4.915000e+00,0.00382812
-4.914000e+00,0.0174219
-4.913000e+00,-0.034375
-4.912000e+00,0.106172
-4.911000e+00,-0.0374219
-4.910000e+00,-0.118359
-4.909000e+00,0.200469
-4.908000e+00,0.0277344
-4.907000e+00,-0.0619531
-4.906000e+00,-0.0572656
-4.905000e+00,7.8125e-05
-4.904000e+00,-0.00617187
-4.903000e+00,-0.010625
-4.902000e+00,-0.05625
-4.901000e+00,0.0364844
-4.900000e+00,0.00179687
-4.899000e+00,-0.0261719
-4.898000e+00,-0.00335937
-4.897000e+00,-0.00765625
-4.896000e+00,0.110469
-4.895000e+00,0.0111719
-4.894000e+00,0.0978906
-4.893000e+00,-0.0821094
-4.892000e+00,0.0686719
-4.891000e+00,0.189453
-4.890000e+00,0.0485156
-4.889000e+00,0.0053125
-4.888000e+00,-0.0009375
-4.887000e+00,-0.0694531
-4.886000e+00,0.0422656
-4.885000e+00,-0.0232031
-4.884000e+00,0.0503906
-4.883000e+00,-0.0125
-4.882000e+00,-0.0397656
-4.881000e+00,-0.0661719
-4.880000e+00,0.176797
-4.879000e+00,0.09125
-4.878000e+00,-0.0976563
-4.877000e+00,-0.155
-4.876000e+00,0.0735937
-4.875000e+00,0.021875
-4.874000e+00,-0.0251562
-4.873000e+00,-0.0205469
-4.872000e+00,0.0154687
-4.871000e+00,-0.00242188
-4.870000e+00,-0.0175781
-4.869000e+00,-0.0271094
-4.868000e+00,0.0352344
-4.867000e+00,0.0698437
-4.866000e+00,-0.0678125
-4.865000e+00,0.120859
-4.864000e+00,0.0452344
-4.863000e+00,0.0424219
-4.862000e+00,0.164219
-4.861000e+00,0.0242188
-4.860000e+00,-0.0244531
-4.859000e+00,0.0827344
-4.858000e+00,-0.0896875
-4.857000e+00,-0.0121875
-4.856000e+00,0.0584375
-4.855000e+00,0.01875
-4.854000e+00,-0.001875
-4.853000e+00,-0.0436719
-4.852000e+00,-0.0582031
-4.851000e+00,0.188281
-4.850000e+00,0.105313
-4.849000e+00,-0.164766
-4.848000e+00,-0.139063
-4.847000e+00,0.104922
-4.846000e+00,0.0325781
-4.845000e+00,-0.0302344
-4.844000e+00,-0.04
-4.843000e+00,0.0140625
-4.842000e+00,-0.0009375
-4.841000e+00,-0.0332031
-4.840000e+00,-0.00804688
-4.839000e+00,0.0257031
-4.838000e+00,0.130781
-4.837000e+00,-0.0380469
-4.836000e+00,0.0735937
-4.835000e+00,0.064375
-4.834000e+00,-0.033125
-4.833000e+00,0.133438
-4.832000e+00,0.07625
-4.831000e+00,-0.0292188
-4.830000e+00,0.125469
-4.829000e+00,-0.0905469
-4.828000e+00,-0.0242187
-4.827000e+00,0.0525781
-4.826000e+00,0.0142188
-4.825000e+00,-0.0839063
-4.824000e+00,0.0107813
-4.823000e+00,-0.0463281
-4.822000e+00,0.140234
-4.821000e+00,0.161797
-4.820000e+00,-0.143359
-4.819000e+00,-0.170625
-4.818000e+00,0.116719
-4.817000e+00,0.0329687
-4.816000e+00,-0.0900781
-4.815000e+00,-0.0533594
-4.814000e+00,0.0560156
-4.813000e+00,-0.00765625
-4.812000e+00,-0.019375
-4.811000e+00,0.00921875
-4.810000e+00,0.0822656
-4.809000e+00,0.114219
-4.808000e+00,-0.0710938
-4.807000e+00,0.0426562
-4.806000e+00,0.0640625
-4.805000e+00,-0.0140625
-4.804000e+00,0.096875
-4.803000e+00,0.120859
-4.802000e+00,-0.0242187
-4.801000e+00,0.105234
-4.800000e+00,-0.0753906
-4.799000e+00,0.0459375
-4.798000e+00,0.0451563
-4.797000e+00,-0.0288281
-4.796000e+00,-0.118672
-4.795000e+00,0.0214844
-4.794000e+00,0.0494531
-4.793000e+00,0.0621094
-4.792000e+00,0.0542969
-4.791000e+00,-0.0464062
-4.790000e+00,-0.105469
-4.789000e+00,0.0648438
-4.788000e+00,0.0344531
-4.787000e+00,-0.0998438
-4.786000e+00,-0.0265625
-4.785000e+00,0.0234375
-4.784000e+00,-0.0053125
-4.783000e+00,-0.079375
-4.782000e+00,0.0265625
-4.781000e+00,0.0965625
-4.780000e+00,0.221875
-4.779000e+00,-0.0642969
-4.778000e+00,-0.113203
-4.777000e+00,0.117266
-4.776000e+00,0.018125
-4.775000e+00,0.0371875
-4.774000e+00,0.196875
-4.773000e+00,-0.0683594
-4.772000e+00,0.0572656
-4.771000e+00,0.0321875
-4.770000e+00,-0.0467969
-4.769000e+00,0.0448438
-4.768000e+00,-0.0491406
-4.767000e+00,-0.142422
-4.766000e+00,0.111328
-4.765000e+00,0.063125
-4.764000e+00,-0.00109375
-4.763000e+00,0.100625
-4.762000e+00,-0.0339844
-4.761000e+00,-0.0425
-4.760000e+00,-0.0425
-4.759000e+00,-0.0251562
-4.758000e+00,-0.0180469
-4.757000e+00,-0.0457813
-4.756000e+00,0.00320313
-4.755000e+00,0.0292188
-4.754000e+00,-0.0246094
-4.753000e+00,0.0471094
-4.752000e+00,0.0584375
-4.751000e+00,0.0967187
-4.750000e+00,0.0609375
-4.749000e+00,-0.112891
-4.748000e+00,0.0486719
-4.747000e+00,0.0766406
-4.746000e+00,0.0154687
-4.745000e+00,0.219766
-4.744000e+00,-0.0870313
-4.743000e+00,0.0110156
-4.742000e+00,0.0728125
-4.741000e+00,-0.0278906
-4.740000e+00,-0.0110156
-4.739000e+00,0.0182031
-4.738000e+00,-0.163437
-4.737000e+00,0.094375
-4.736000e+00,0.131328
-4.735000e+00,-0.0439063
-4.734000e+00,0.0399219
-4.733000e+00,-0.0209375
-4.732000e+00,-0.0464062
-4.731000e+00,-0.0421094
-4.730000e+00,0.0222656
-4.729000e+00,-0.0228125
-4.728000e+00,-0.00765625
-4.727000e+00,-0.0350781
-4.726000e+00,-0.0298438
-4.725000e+00,0.0125
-4.724000e+00,0.114062
-4.723000e+00,0.0232031
-4.722000e+00,0.0478906
-4.721000e+00,0.0607031
-4.720000e+00,-0.102031
-4.719000e+00,0.068125
-4.718000e+00,0.101562
-4.717000e+00,0.00421875
-4.716000e+00,0.143125
-4.715000e+00,-0.070625
-4.714000e+00,0.152109
-4.713000e+00,-0.00335937
-4.712000e+00,-0.0354688
-4.711000e+00,-0.0342969
-4.710000e+00,-0.0117188
-4.709000e+00,-0.0839063
-4.708000e+00,0.0344531
-4.707000e+00,0.102344
-4.706000e+00,0.0371875
-4.705000e+00,0.0148437
-4.704000e+00,-0.0479687
-4.703000e+00,0.001875
-4.702000e+00,-0.0332031
-4.701000e+00,-0.0053125
-4.700000e+00,-0.0278906
-4.699000e+00,-0.02125
-4.698000e+00,-0.0170312
-4.697000e+00,0.0325781
-4.696000e+00,-0.0220312
-4.695000e+00,0.03875
-4.694000e+00,0.0532031
-4.693000e+00,-0.0327344
-4.692000e+00,0.170391
-4.691000e+00,-0.0738281
-4.690000e+00,0.0117188
-4.689000e+00,0.186953
-4.688000e+00,-0.0117969
-4.687000e+00,0.0885937
-4.686000e+00,0.0461719
-4.685000e+00,-0.0115625
-4.684000e+00,0.061875
-4.683000e+00,-0.065625
-4.682000e+00,-0.121406
-4.681000e+00,0.0941406
-4.680000e+00,-0.0320312
-4.679000e+00,-0.0698438
-4.678000e+00,0.255547
-4.677000e+00,0.000703125
-4.676000e+00,-0.105078
-4.675000e+00,-0.030625
-4.674000e+00,0.0166406
-4.673000e+00,0.0021875
-4.672000e+00,-0.006875
-4.671000e+00,-0.162422
-4.670000e+00,0.0571875
-4.669000e+00,0.0724219
-4.668000e+00,-0.0314062
-4.667000e+00,0.0296094
-4.666000e+00,0.0523438
-4.665000e+00,0.0201563
-4.664000e+00,-0.0459375
-4.663000e+00,0.0910938
-4.662000e+00,-0.0248437
-4.661000e+00,0.0315625
-4.660000e+00,0.0946094
-4.659000e+00,0.0197656
-4.658000e+00,0.159141
-4.657000e+00,0.0727344
-4.656000e+00,0.0321875
-4.655000e+00,-0.0938281
-4.654000e+00,-0.0222656
-4.653000e+00,-0.0242187
-4.652000e+00,0.00703125
-4.651000e+00,-0.048125
-4.650000e+00,-0.00382812
-4.649000e+00,0.120078
-4.648000e+00,0.0625
-4.647000e+00,-0.108438
-4.646000e+00,-0.0782813
-4.645000e+00,0.109766
-4.644000e+00,0.00765625
-4.643000e+00,-0.0294531
-4.642000e+00,-0.0760938
-4.641000e+00,-0.0439063
-4.640000e+00,0.0910938
-4.639000e+00,0.0523438
-4.638000e+00,-0.114375
-4.637000e+00,-0.033125
-4.636000e+00,0.126406
-4.635000e+00,-0.0196875
-4.634000e+00,0.115312
-4.633000e+00,-0.0358594
-4.632000e+00,0.02125
-4.631000e+00,0.177734
-4.630000e+00,0.101328
-4.629000e+00,0.0199219
-4.628000e+00,0.0660156
-4.627000e+00,-0.0965625
-4.626000e+00,-0.0675781
-4.625000e+00,0.0282813
-4.624000e+00,-0.0514844
-4.623000e+00,0.0185937
-4.622000e+00,0.158281
-4.621000e+00,-0.128437
-4.620000e+00,0.139609
-4.619000e+00,0.0945312
-4.618000e+00,-0.125547
-4.617000e+00,-0.0714844
-4.616000e+00,0.0264844
-4.615000e+00,-0.0440625
-4.614000e+00,0.0204688
-4.613000e+00,-0.0786719
-4.612000e+00,-0.00476563
-4.611000e+00,0.119609
-4.610000e+00,-0.00203125
-4.609000e+00,-0.0240625
-4.608000e+00,0.0292188
-4.607000e+00,0.0224219
-4.606000e+00,-0.0657813
-4.605000e+00,0.106562
-4.604000e+00,-0.0247656
-4.603000e+00,0.0313281
-4.602000e+00,0.114766
-4.601000e+00,0.189844
-4.600000e+00,0.0204688
-4.599000e+00,0.01
-4.598000e+00,-0.0714063
-4.597000e+00,0.0084375
-4.596000e+00,-0.00320312
-4.595000e+00,-0.00335937
-4.594000e+00,-0.0495312
-4.593000e+00,0.0502344
-4.592000e+00,-0.0535156
-4.591000e+00,0.0558594
-4.590000e+00,0.135
-4.589000e+00,-0.0584375
-4.588000e+00,-0.116328
-4.587000e+00,0.0485156
-4.586000e+00,0.0191406
-4.585000e+00,-0.0136719
-4.584000e+00,-0.0178125
-4.583000e+00,-0.0409375
-4.582000e+00,-0.0217188
-4.581000e+00,-0.0269531
-4.580000e+00,-0.0292188
-4.579000e+00,0.08875
-4.578000e+00,0.146484
-4.577000e+00,-0.103281
-4.576000e+00,0.0404687
-4.575000e+00,0.0358594
-4.574000e+00,0.0636719
-4.573000e+00,0.159844
-4.572000e+00,0.0975
-4.571000e+00,-0.0415625
-4.570000e+00,0.0691406
-4.569000e+00,-0.124922
-4.568000e+00,0.0113281
-4.567000e+00,0.00109375
-4.566000e+00,0.0028125
-4.565000e+00,-0.0191406
