TIME,CH1
-5.000000e+00,-0.0572656
-4.999000e+00,-0.193203
-4.998000e+00,-0.235547
-4.997000e+00,-0.323203
-4.996000e+00,-0.513672
-4.995000e+00,-0.637891
-4.994000e+00,-0.785078
-4.993000e+00,-0.766875
-4.992000e+00,-0.763516
-4.991000e+00,-0.725625
-4.990000e+00,-0.6
-4.989000e+00,-0.364766
-4.988000e+00,-0.0932813
-4.987000e+00,0.0451563
-4.986000e+00,0.2725
-4.985000e+00,0.420781
-4.984000e+00,0.513125
-4.983000e+00,0.552422
-4.982000e+00,0.653125
-4.981000e+00,0.647109
-4.980000e+00,0.599375
-4.979000e+00,0.390078
-4.978000e+00,0.409844
-4.977000e+00,0.438438
-4.976000e+00,0.297891
-4.975000e+00,0.129219
-4.974000e+00,0.149141
-4.973000e+00,0.121406
-4.972000e+00,0.0832813
-4.971000e+00,-0.0955469
-4.970000e+00,-0.188516
-4.969000e+00,-0.226172
-4.968000e+00,-0.379141
-4.967000e+00,-0.556484
-4.966000e+00,-0.675078
-4.965000e+00,-0.750703
-4.964000e+00,-0.806719
-4.963000e+00,-0.731875
-4.962000e+00,-0.703125
-4.961000e+00,-0.554922
-4.960000e+00,-0.375547
-4.959000e+00,-0.0267187
-4.958000e+00,0.0914062
-4.957000e+00,0.314844
-4.956000e+00,0.44375
-4.955000e+00,0.500469
-4.954000e+00,0.570469
-4.953000e+00,0.692969
-4.952000e+00,0.621797
-4.951000e+00,0.558594
-4.950000e+00,0.392344
-4.949000e+00,0.403438
-4.948000e+00,0.440781
-4.947000e+00,0.245469
-4.946000e+00,0.110547
-4.945000e+00,0.155859
-4.944000e+00,0.108125
-4.943000e+00,0.0745312
-4.942000e+00,-0.0809375
-4.941000e+00,-0.205391
-4.940000e+00,-0.242109
-4.939000e+00,-0.424531
-4.938000e+00,-0.587266
-4.937000e+00,-0.696094
-4.936000e+00,-0.733437
-4.935000e+00,-0.783125
-4.934000e+00,-0.734219
-4.933000e+00,-0.723672
-4.932000e+00,-0.495469
-4.931000e+00,-0.281562
-4.930000e+00,-0.0563281
-4.929000e+00,0.144531
-4.928000e+00,0.359922
-4.927000e+00,0.416719
-4.926000e+00,0.500234
-4.925000e+00,0.6
-4.924000e+00,0.716875
-4.923000e+00,0.632109
-4.922000e+00,0.517969
-4.921000e+00,0.398281
-4.920000e+00,0.377578
-4.919000e+00,0.410469
-4.918000e+00,0.2425
-4.917000e+00,0.115937
-4.916000e+00,0.174297
-4.915000e+00,0.0757031
-4.914000e+00,0.05125
-4.913000e+00,-0.0648438
-4.912000e+00,-0.221172
-4.911000e+00,-0.307266
-4.910000e+00,-0.456016
-4.909000e+00,-0.600469
-4.908000e+00,-0.733828
-4.907000e+00,-0.720547
-4.906000e+00,-0.763281
-4.905000e+00,-0.711406
-4.904000e+00,-0.709141
-4.903000e+00,-0.489766
-4.902000e+00,-0.254375
-4.901000e+00,-0.00203125
-4.900000e+00,0.198984
-4.899000e+00,0.379375
-4.898000e+00,0.428984
-4.897000e+00,0.522109
-4.896000e+00,0.581797
-4.895000e+00,0.703438
-4.894000e+00,0.649375
-4.893000e+00,0.494688
-4.892000e+00,0.391563
-4.891000e+00,0.382109
-4.890000e+00,0.401875
-4.889000e+00,0.201641
-4.888000e+00,0.113594
-4.887000e+00,0.152656
-4.886000e+00,0.0914844
-4.885000e+00,0.0348437
-4.884000e+00,-0.103906
-4.883000e+00,-0.259609
-4.882000e+00,-0.338125
-4.881000e+00,-0.455
-4.880000e+00,-0.615938
